Date,High,Low,Open,Close,Volume,Adj Close
2016-08-02,2050.0,1895.0,2050.0,1950.0,0.0,1950.0
2016-08-03,2000.0,1887.5,1892.5,1935.0,0.0,1935.0
2016-08-04,4000.0,1950.0,1997.5,2707.5,8000.0,2707.5
2016-08-05,3425.0,2550.0,2775.0,2597.5,2500.0,2597.5
2016-08-08,2537.5,2275.0,2537.5,2347.5,200.0,2347.5
2016-08-09,2480.0,2270.0,2275.0,2347.5,200.0,2347.5
2016-08-10,2337.5,2200.0,2300.0,2247.5,200.0,2247.5
2016-08-11,2352.5,2117.5,2200.0,2350.0,200.0,2350.0
2016-08-12,2337.5,2200.0,2302.5,2275.0,100.0,2275.0
2016-08-15,2350.0,2135.0,2350.0,2240.0,0.0,2240.0
2016-08-16,2445.0,2172.5,2172.5,2382.5,200.0,2382.5
2016-08-17,3125.0,2342.5,2342.5,2600.0,1700.0,2600.0
2016-08-18,2925.0,2425.0,2532.5,2545.0,300.0,2545.0
2016-08-19,2610.0,2420.0,2432.5,2487.5,100.0,2487.5
2016-08-22,2560.0,2462.5,2477.5,2525.0,0.0,2525.0
2016-08-23,2675.0,2527.5,2550.0,2650.0,100.0,2650.0
2016-08-24,2760.0,2577.5,2625.0,2577.5,100.0,2577.5
2016-08-25,2610.0,2510.0,2577.5,2550.0,0.0,2550.0
2016-08-26,2632.5,2512.5,2550.0,2577.5,100.0,2577.5
2016-08-29,2600.0,2500.0,2572.5,2505.0,0.0,2505.0
2016-08-30,2557.5,2312.5,2500.0,2337.5,100.0,2337.5
2016-08-31,2497.5,2275.0,2337.5,2305.0,100.0,2305.0
2016-09-01,2325.0,2145.0,2322.5,2252.5,0.0,2252.5
2016-09-02,2315.0,2250.0,2250.0,2255.0,100.0,2255.0
2016-09-06,2420.0,2250.0,2262.5,2365.0,200.0,2365.0
2016-09-07,2672.5,2197.5,2425.0,2500.0,300.0,2500.0
2016-09-08,2560.0,2275.0,2475.0,2410.0,100.0,2410.0
2016-09-09,2452.5,2255.0,2407.5,2282.5,0.0,2282.5
2016-09-12,2325.0,2195.0,2230.0,2325.0,100.0,2325.0
2016-09-13,2365.0,2175.0,2335.0,2240.0,100.0,2240.0
2016-09-14,2332.5,2142.5,2310.0,2162.5,100.0,2162.5
2016-09-15,2255.0,2132.5,2182.5,2157.5,100.0,2157.5
2016-09-16,2197.5,2027.5,2132.5,2070.0,0.0,2070.0
2016-09-19,2172.5,2000.0,2070.0,2125.0,0.0,2125.0
2016-09-20,2115.0,2000.0,2115.0,2000.0,0.0,2000.0
2016-09-21,2125.0,2027.5,2040.0,2082.5,0.0,2082.5
2016-09-22,2370.0,2087.5,2087.5,2147.5,300.0,2147.5
2016-09-23,2410.0,2115.0,2200.0,2150.0,100.0,2150.0
2016-09-26,2370.0,2087.5,2177.5,2087.5,100.0,2087.5
2016-09-27,2375.0,2060.0,2085.0,2245.0,300.0,2245.0
2016-09-28,2367.5,2027.5,2320.0,2087.5,300.0,2087.5
2016-09-29,2122.5,2052.5,2052.5,2077.5,0.0,2077.5
2016-09-30,2117.5,2025.0,2085.0,2035.0,0.0,2035.0
2016-10-03,2137.5,1987.5,2080.0,2045.0,0.0,2045.0
2016-10-04,2105.0,2002.5,2042.5,2040.0,0.0,2040.0
2016-10-05,2082.5,1872.5,2082.5,1975.0,300.0,1975.0
2016-10-06,2060.0,1880.0,2047.5,1880.0,200.0,1880.0
2016-10-07,1905.0,1852.5,1882.5,1887.5,0.0,1887.5
2016-10-10,1915.0,1842.5,1842.5,1877.5,0.0,1877.5
2016-10-11,1972.5,1825.0,1915.0,1827.5,0.0,1827.5
2016-10-12,1890.0,1800.0,1822.5,1825.0,0.0,1825.0
2016-10-13,1872.5,1802.5,1810.0,1872.5,0.0,1872.5
2016-10-14,1857.5,1652.5,1857.5,1760.0,0.0,1760.0
2016-10-17,1722.5,1505.0,1722.5,1590.0,200.0,1590.0
2016-10-18,1662.5,1480.0,1645.0,1500.0,100.0,1500.0
2016-10-19,1547.5,1402.5,1492.5,1435.0,100.0,1435.0
2016-10-20,1447.5,1337.5,1380.0,1402.5,100.0,1402.5
2016-10-21,3287.5,1455.0,1462.5,2475.0,21500.0,2475.0
2016-10-24,2975.0,2305.0,2305.0,2450.0,5700.0,2450.0
2016-10-25,2440.0,1677.5,2377.5,1777.5,2700.0,1777.5
2016-10-26,2050.0,1672.5,1685.0,1830.0,2500.0,1830.0
2016-10-27,2010.0,1590.0,1812.5,1650.0,3500.0,1650.0
2016-10-28,1667.5,1527.5,1600.0,1610.0,600.0,1610.0
2016-10-31,1920.0,1572.5,1602.5,1725.0,5600.0,1725.0
2016-11-01,1700.0,1505.0,1697.5,1550.0,1700.0,1550.0
2016-11-02,1552.5,1400.0,1542.5,1400.0,500.0,1400.0
2016-11-03,1395.0,1210.0,1395.0,1350.0,800.0,1350.0
2016-11-04,1520.0,1282.5,1312.5,1385.0,1000.0,1385.0
2016-11-07,1452.5,1287.5,1400.0,1325.0,400.0,1325.0
2016-11-08,1397.5,1277.5,1295.0,1352.5,500.0,1352.5
2016-11-09,1590.0,1290.0,1460.0,1337.5,1600.0,1337.5
2016-11-10,1335.0,1267.5,1307.5,1325.0,600.0,1325.0
2016-11-11,1625.0,1287.5,1300.0,1467.5,2100.0,1467.5
2016-11-14,1615.0,1375.0,1500.0,1455.0,1000.0,1455.0
2016-11-15,1765.0,1362.5,1407.5,1637.5,4100.0,1637.5
2016-11-16,1850.0,1370.0,1690.0,1535.0,6000.0,1535.0
2016-11-17,1597.5,1427.5,1470.0,1482.5,800.0,1482.5
2016-11-18,1500.0,1330.0,1455.0,1405.0,1100.0,1405.0
2016-11-21,1485.0,1350.0,1405.0,1440.0,1000.0,1440.0
2016-11-22,1675.0,1365.0,1670.0,1405.0,2600.0,1405.0
2016-11-23,1420.0,1277.5,1360.0,1335.0,1100.0,1335.0
2016-11-25,1377.5,1292.5,1305.0,1362.5,600.0,1362.5
2016-11-28,1385.0,1320.0,1337.5,1350.0,400.0,1350.0
2016-11-29,1342.5,1287.5,1327.5,1307.5,200.0,1307.5
2016-11-30,1337.5,1150.0,1290.0,1205.0,1000.0,1205.0
2016-12-01,1260.0,1047.5,1172.5,1067.5,900.0,1067.5
2016-12-02,1175.0,1025.0,1077.5,1135.0,500.0,1135.0
2016-12-05,1237.5,1025.0,1187.5,1037.5,700.0,1037.5
2016-12-06,1122.5,1002.5,1040.0,1050.0,600.0,1050.0
2016-12-07,1167.5,1040.0,1072.5,1085.0,700.0,1085.0
2016-12-08,1110.0,1040.0,1110.0,1065.0,200.0,1065.0
2016-12-09,1625.0,1027.5,1107.5,1302.5,7100.0,1302.5
2016-12-12,1322.5,1075.0,1322.5,1080.0,2300.0,1080.0
2016-12-13,1102.5,1012.5,1062.5,1047.5,600.0,1047.5
2016-12-14,1110.0,1055.0,1055.0,1080.0,400.0,1080.0
2016-12-15,1225.0,1010.0,1062.5,1052.5,2200.0,1052.5
2016-12-16,1092.5,1025.0,1027.5,1040.0,500.0,1040.0
2016-12-19,1465.0,1027.5,1027.5,1122.5,8900.0,1122.5
2016-12-20,1125.0,1050.0,1075.0,1080.0,1400.0,1080.0
2016-12-21,1100.0,1055.0,1062.5,1072.5,400.0,1072.5
2016-12-22,1087.5,1045.0,1057.5,1055.0,200.0,1055.0
2016-12-23,1085.0,1037.5,1047.5,1065.0,300.0,1065.0
2016-12-27,992.5,905.0,980.0,952.5,800.0,952.5
2016-12-28,945.0,912.5,935.0,927.5,300.0,927.5
2016-12-29,932.5,852.5,910.0,862.5,400.0,862.5
2016-12-30,897.5,765.0,850.0,825.0,700.0,825.0
2017-01-03,842.5,767.5,820.0,777.5,400.0,777.5
2017-01-04,947.5,777.5,777.5,855.0,2200.0,855.0
2017-01-05,1035.0,825.0,917.5,850.0,2100.0,850.0
2017-01-06,850.0,812.5,837.5,820.0,300.0,820.0
2017-01-09,837.5,787.5,820.0,802.5,300.0,802.5
2017-01-10,862.5,787.5,820.0,810.0,600.0,810.0
2017-01-11,975.0,790.0,840.0,915.0,3400.0,915.0
2017-01-12,1150.0,907.5,915.0,915.0,3000.0,915.0
2017-01-13,925.0,850.0,887.5,850.0,500.0,850.0
2017-01-17,860.0,815.0,827.5,842.5,200.0,842.5
2017-01-18,860.0,815.0,827.5,832.5,100.0,832.5
2017-01-19,880.0,832.5,840.0,837.5,100.0,837.5
2017-01-20,947.5,850.0,867.5,865.0,900.0,865.0
2017-01-23,1245.0,872.5,940.0,987.5,15400.0,987.5
2017-01-24,1047.5,865.0,997.5,880.0,2500.0,880.0
2017-01-25,912.5,880.0,882.5,897.5,600.0,897.5
2017-01-26,912.5,880.0,900.0,887.5,400.0,887.5
2017-01-27,1092.5,887.5,887.5,1005.0,5800.0,1005.0
2017-01-30,1157.5,940.0,1005.0,1060.0,6500.0,1060.0
2017-01-31,1175.0,1012.5,1040.0,1067.5,3600.0,1067.5
2017-02-01,1332.5,1062.5,1187.5,1087.5,11200.0,1087.5
2017-02-02,1090.0,945.0,1047.5,962.5,2300.0,962.5
2017-02-03,1022.5,952.5,1002.5,982.5,1100.0,982.5
2017-02-06,1000.0,940.0,962.5,992.5,400.0,992.5
2017-02-07,1062.5,952.5,1037.5,975.0,1200.0,975.0
2017-02-08,975.0,915.0,955.0,927.5,700.0,927.5
2017-02-09,937.5,875.0,907.5,892.5,1300.0,892.5
2017-02-10,995.0,885.0,900.0,920.0,2100.0,920.0
2017-02-13,962.5,900.0,910.0,900.0,500.0,900.0
2017-02-14,947.5,897.5,900.0,912.5,600.0,912.5
2017-02-15,937.5,907.5,925.0,927.5,200.0,927.5
2017-02-16,930.0,892.5,922.5,910.0,300.0,910.0
2017-02-17,907.5,882.5,895.0,902.5,300.0,902.5
2017-02-21,892.5,790.0,892.5,802.5,800.0,802.5
2017-02-22,810.0,775.0,802.5,780.0,700.0,780.0
2017-02-23,930.0,787.5,835.0,805.0,4500.0,805.0
2017-02-24,817.5,705.0,815.0,745.0,1000.0,745.0
2017-02-27,775.0,737.5,740.0,767.5,300.0,767.5
2017-02-28,765.0,730.0,757.5,752.5,200.0,752.5
2017-03-01,872.5,737.5,807.5,757.5,2700.0,757.5
2017-03-02,830.0,750.0,757.5,777.5,1100.0,777.5
2017-03-03,830.0,777.5,792.5,812.5,600.0,812.5
2017-03-06,812.5,777.5,807.5,810.0,100.0,810.0
2017-03-07,807.5,690.0,805.0,690.0,500.0,690.0
2017-03-08,782.5,690.0,745.0,775.0,400.0,775.0
2017-03-09,802.5,715.0,767.5,760.0,300.0,760.0
2017-03-10,762.5,727.5,750.0,737.5,100.0,737.5
2017-03-13,777.5,735.0,745.0,735.0,200.0,735.0
2017-03-14,772.5,702.5,737.5,710.0,300.0,710.0
2017-03-15,732.5,675.0,732.5,677.5,300.0,677.5
2017-03-16,727.5,670.0,672.5,695.0,300.0,695.0
2017-03-17,712.5,675.0,682.5,675.0,100.0,675.0
2017-03-20,700.0,662.5,700.0,662.5,200.0,662.5
2017-03-21,682.5,650.0,682.5,667.5,100.0,667.5
2017-03-22,680.0,640.0,652.5,642.5,100.0,642.5
2017-03-23,650.0,615.0,647.5,650.0,200.0,650.0
2017-03-24,642.5,592.5,642.5,612.5,300.0,612.5
2017-03-27,862.5,615.0,617.5,680.0,3700.0,680.0
2017-03-28,692.5,627.5,687.5,647.5,600.0,647.5
2017-03-29,680.0,625.0,675.0,665.0,200.0,665.0
2017-03-30,735.0,647.5,660.0,712.5,1000.0,712.5
2017-03-31,772.5,665.0,712.5,707.5,1300.0,707.5
2017-04-03,775.0,667.5,775.0,690.0,400.0,690.0
2017-04-04,725.0,657.5,685.0,690.0,100.0,690.0
2017-04-05,697.5,655.0,685.0,685.0,100.0,685.0
2017-04-06,710.0,655.0,680.0,687.5,100.0,687.5
2017-04-07,710.0,657.5,657.5,685.0,200.0,685.0
2017-04-10,690.0,660.0,690.0,677.5,0.0,677.5
2017-04-11,700.0,657.5,662.5,677.5,100.0,677.5
2017-04-12,685.0,662.5,685.0,665.0,0.0,665.0
2017-04-13,675.0,665.0,667.5,675.0,0.0,675.0
2017-04-17,702.5,650.0,702.5,652.5,0.0,652.5
2017-04-18,670.0,627.5,670.0,652.5,200.0,652.5
2017-04-19,685.0,645.0,645.0,677.5,300.0,677.5
2017-04-20,842.5,657.5,662.5,817.5,4200.0,817.5
2017-04-21,812.5,702.5,732.5,737.5,1600.0,737.5
2017-04-24,740.0,670.0,740.0,712.5,200.0,712.5
2017-04-25,710.0,670.0,707.5,677.5,200.0,677.5
2017-04-26,697.5,650.0,697.5,662.5,0.0,662.5
2017-04-27,720.0,662.5,662.5,665.0,200.0,665.0
2017-04-28,702.5,660.0,687.5,662.5,0.0,662.5
2017-05-01,677.5,645.0,660.0,655.0,100.0,655.0
2017-05-02,680.0,645.0,672.5,657.5,0.0,657.5
2017-05-03,685.0,637.5,685.0,655.0,100.0,655.0
2017-05-04,650.0,585.0,642.5,600.0,300.0,600.0
2017-05-05,625.0,552.5,617.5,570.0,200.0,570.0
2017-05-08,587.5,562.5,562.5,567.5,0.0,567.5
2017-05-09,662.5,550.0,567.5,582.5,300.0,582.5
2017-05-10,602.5,557.5,580.0,577.5,100.0,577.5
2017-05-11,620.0,567.5,577.5,607.5,300.0,607.5
2017-05-12,687.5,602.5,602.5,632.5,800.0,632.5
2017-05-15,660.0,605.0,652.5,625.0,100.0,625.0
2017-05-16,632.5,557.5,620.0,557.5,100.0,557.5
2017-05-17,655.0,587.5,607.5,602.5,400.0,602.5
2017-05-18,625.0,575.0,580.0,622.5,100.0,622.5
2017-05-19,627.5,602.5,627.5,612.5,0.0,612.5
2017-05-22,637.5,595.0,627.5,612.5,0.0,612.5
2017-05-23,1225.0,912.5,1100.0,952.5,109900.0,952.5
2017-05-24,1020.0,700.0,987.5,730.0,14400.0,730.0
2017-05-25,782.5,665.0,750.0,680.0,3300.0,680.0
2017-05-26,700.0,625.0,680.0,637.5,2200.0,637.5
2017-05-30,717.5,637.5,650.0,692.5,3900.0,692.5
2017-05-31,682.5,630.0,682.5,657.5,1900.0,657.5
2017-06-01,667.5,640.0,647.5,650.0,700.0,650.0
2017-06-02,700.0,642.5,642.5,665.0,1500.0,665.0
2017-06-05,787.5,660.0,750.0,665.0,6000.0,665.0
2017-06-06,662.5,630.0,652.5,652.5,1400.0,652.5
2017-06-07,655.0,625.0,645.0,647.5,600.0,647.5
2017-06-08,650.0,610.0,640.0,647.5,1000.0,647.5
2017-06-09,647.5,625.0,640.0,637.5,500.0,637.5
2017-06-12,635.0,612.5,630.0,615.0,400.0,615.0
2017-06-13,625.0,605.0,607.5,620.0,300.0,620.0
2017-06-14,655.0,617.5,627.5,630.0,700.0,630.0
2017-06-15,637.5,610.0,627.5,612.5,200.0,612.5
2017-06-16,625.0,605.0,610.0,625.0,300.0,625.0
2017-06-19,625.0,585.0,625.0,592.5,600.0,592.5
2017-06-20,675.0,577.5,595.0,635.0,1900.0,635.0
2017-06-21,660.0,627.5,627.5,645.0,500.0,645.0
2017-06-22,655.0,615.0,637.5,620.0,200.0,620.0
2017-06-23,645.0,620.0,625.0,620.0,100.0,620.0
2017-06-26,650.0,620.0,622.5,627.5,200.0,627.5
2017-06-27,635.0,592.5,635.0,600.0,300.0,600.0
2017-06-28,630.0,602.5,602.5,622.5,300.0,622.5
2017-06-29,622.5,605.0,617.5,622.5,100.0,622.5
2017-06-30,630.0,602.5,630.0,607.5,200.0,607.5
2017-07-03,615.0,597.5,602.5,602.5,100.0,602.5
2017-07-05,630.0,597.5,622.5,607.5,600.0,607.5
2017-07-06,650.0,600.0,600.0,622.5,800.0,622.5
2017-07-07,640.0,602.5,625.0,620.0,600.0,620.0
2017-07-10,637.5,602.5,635.0,620.0,200.0,620.0
2017-07-11,620.0,605.0,610.0,612.5,300.0,612.5
2017-07-12,627.5,605.0,612.5,605.0,200.0,605.0
